"AC008073.5"	"ACIN1"	"ADAR"	"ADARB1"	"ALKBH5"	"AQR"	"ASCL1"	"ASH2L"	"BAT1"	"BAZ1B"	"BCAS2"	"BMI1"	"BRD4"	"BUB3"	"BUD13"	"BUD31"	"C16orf80"	"C19orf29"	"C19orf43"	"C9orf78"	"CARM1"	"CBX3"	"CCAR1"	"CCDC12"	"CCDC55"	"CD2BP2"	"CDC40"	"CDC5L"	"CDK10"	"CHD1"	"CHERP"	"CIRBP"	"CLK1"	"CLK2"	"CLK3"	"CLK4"	"CPSF2"	"CPSF6"	"CRKRS"	"CRNKL1"	"CSDA"	"CTCF"	"CTNNBL1"	"CWC15"	"CWC22"	"CWC27"	"CXorf56"	"DBC1"	"DBR1"	"DDX10"	"DDX11"	"DDX12"	"DDX17"	"DDX23"	"DDX24"	"DDX28"	"DDX31"	"DDX3X"	"DDX41"	"DDX46"	"DDX52"	"DDX5"	"DEK"	"DGCR14"	"DHX15"	"DHX16"	"DHX30"	"DHX32"	"DHX33"	"DHX35"	"DHX38"	"DHX57"	"DHX8"	"DHX9"	"DICER1"	"DIS3"	"DIS3L"	"DNAJC8"	"DNMT1"	"EED"	"EFTUD2"	"EHMT2"	"EIF2C2"	"EIF4A3"	"ELAVL1"	"EP300"	"ESRP1"	"ESRP2"	"EWSR1"	"EXOSC4"	"EZH2"	"FAM32A"	"FAM50A"	"FAM50B"	"FRG1"	"FTO"	"FUBP3"	"FUS"	"GCFC1"	"HDAC1"	"HDAC2"	"HDAC3"	"HDAC4"	"HDAC6"	"HFM1"	"HMGA1"	"HNRNPA0"	"HNRNPA1"	"HNRNPA2B1"	"HNRNPA3"	"HNRNPAB"	"HNRNPC"	"HNRNPCL1"	"HNRNPD"	"HNRNPF"	"HNRNPH1"	"HNRNPH2"	"HNRNPH3"	"HNRNPK"	"HNRNPL"	"HNRNPM"	"HNRNPR"	"HNRNPU"	"HNRNPUL1"	"HNRNPUL2"	"HNRPDL"	"HNRPLL"	"HSPA1A"	"HSPA5"	"HSPA8"	"HTATSF1"	"IGF2BP3"	"IK"	"ILF2"	"ILF3"	"ISY1"	"KAT2A"	"KAT2B"	"KAT5"	"KDM1A"	"KDM4B"	"KHDRBS1"	"KIAA1429"	"KIN"	"LENG1"	"LPAR1"	"LSM2"	"LSM3"	"LSM4"	"LSM6"	"LSM7"	"LUC7L3"	"MAGOH"	"MATR3"	"MBD2"	"MECP2"	"METTL14"	"METTL3"	"MFAP1"	"MORF4L1"	"MOV10"	"NAB2"	"NCBP1"	"NCBP2"	"NHP2L1"	"NONO"	"NOSIP"	"NUDT21"	"PABPC1"	"PABPN1"	"PDCD7"	"PHC1"	"PHC2"	"PLRG1"	"PPIE"	"PPIG"	"PPIL2"	"PPIL3"	"PPM1G"	"PPWD1"	"PQBP1"	"PRMT1"	"PRMT5"	"PRPF18"	"PRPF19"	"PRPF39"	"PRPF3"	"PRPF40A"	"PRPF4"	"PRPF4B"	"PRPF6"	"PRPF8"	"PTBP1"	"PUF60"	"RALY"	"RBM10"	"RBM15"	"RBM17"	"RBM22"	"RBM25"	"RBM39"	"RBM5"	"RBM6"	"RBM8A"	"RBM9"	"RBMX2"	"RECQL5"	"RNPC3"	"RNPS1"	"RP11"	"RPS6KA5"	"SART1"	"SETD1A"	"SETD2"	"SF1"	"SF3A1"	"SF3A2"	"SF3A3"	"SF3B1"	"SF3B2"	"SF3B3"	"SF3B4"	"SFPQ"	"SFRS11"	"SFRS3"	"SFRS4"	"SFRS6"	"SFRS7"	"SFRS9"	"SIRT1"	"SKIV2L2"	"SLU7"	"SMARCA2"	"SMARCA4"	"SMNDC1"	"SMU1"	"SNIP1"	"SNRNP200"	"SNRNP25"	"SNRNP27"	"SNRNP35"	"SNRNP40"	"SNRNP48"	"SNRNP70"	"SNRPA1"	"SNRPA"	"SNRPB2"	"SNRPB"	"SNRPC"	"SNRPD1"	"SNRPD2"	"SNRPD3"	"SNRPE"	"SNRPF"	"SNRPG"	"SNW1"	"SPEN"	"SR140"	"SRPK1"	"SRPK2"	"SRRM1"	"SRRM2"	"SRRM3"	"SRSF1"	"SRSF2"	"SRSF5"	"SUV39H1"	"SYF2"	"SYNCRIP"	"TAF15"	"TCERG1"	"TCERG1L"	"TDRD9"	"TET1"	"TFIP11"	"THOC1"	"THOC2"	"THOC3"	"THOC4"	"THOC5"	"THOC6"	"THOC7"	"THRAP3"	"TIA1"	"TIAL1"	"TRA2B"	"TXNL4A"	"U2AF1"	"U2AF2"	"USP39"	"WBP11"	"WBP4"	"WDR83"	"WTAP"	"XAB2"	"YBX1"	"YTHDC1"	"ZCRB1"	"ZMAT5"	"ZNF207"	"ZNF326"	"ZNF830"	"ZRSR1"	"ZRSR2"
"HsaEX6065474"	0.651554953618215	-0.40249529274809	0.156083689122272	-0.92916586728162	-0.345398393584403	-0.199745015969047	-1.90446862184193	-0.522591953025807	0.0044806438493282	-0.389901836351994	0.031082997993465	-0.544226773265631	-0.299075084229701	-0.471739073666151	0.471999109952837	-0.278522892746505	0.0296396120709112	0.813948593387069	-0.448518367169637	-0.323755695440573	-0.772287277408851	-0.467008105759087	-0.546672021006133	-0.519318600912046	-0.243146119258041	-0.393928461335162	1.61552567347591	-0.321194310948659	-0.505357859707005	-0.412620850148539	0.195017725514579	-0.576127786165191	-0.595582094444269	-0.691902556574053	-0.358962078274387	-0.71224507637008	-0.771436296727431	-0.232141229533956	-0.526270071546864	1.97798049414475	-0.361229783120844	-0.556213799111444	-0.544664289707846	0.241380966379317	3.4736410973283	-0.47651605214584	-0.201673546490692	-0.411331233916004	-0.788599045472964	-0.25548647209871	-0.48693162560603	-0.392805665810686	0.000251585947213789	-0.227302241745162	-0.504425958621214	-0.494751634079697	-0.0508646200398962	-0.183208372757626	-0.0802903713955006	0.164892592448008	-0.60989674238825	0.162171699907006	0.33115074983602	-0.495802780160928	-0.469805824579277	-0.702777204130968	-0.376075930264857	0.405412405090326	-0.219597036516798	-0.330085461140367	0.0546777951553551	-0.238486454662203	0.398412191309003	0.414786703524473	-0.0853131396550588	-0.784504009747378	-0.486209379671326	-0.254657923259593	-0.603001573933135	-0.371574910430666	1.57005749194302	-0.525369804657516	0.114891081000562	0.443931196497954	-0.752169795276668	-0.580615679145407	0.0215997266941566	0.738622523733318	0.216802009900725	-0.395477028118364	-0.314392819818759	-0.59716317966633	-0.485614194354321	-0.360814902623114	-0.0696876756478617	-0.308482273384427	-0.289557233854128	-0.0982566881832456	-0.14597686403596	0.217220084545085	-0.253551430869336	-0.655299865386355	-0.357999021820662	-0.274709573846565	-0.623661499297628	-0.49576479654133	-0.574442671990979	-0.560556641072168	0.104943795181941	-0.121692887680275	-0.0745912718234428	0.343303244257664	0.136856517238671	-0.367575289340839	0.0874284173060711	0.147940577332263	-0.368347263696129	-0.398779684473164	0.508808363497311	0.629130812954755	-0.858452933841959	-0.0128318708343023	0.157572194418824	-0.297974126050603	-0.128136741706463	-0.966036468318466	-6.14696516151231	-0.675478849869864	-0.715825121456228	-0.891212950434268	-0.583358056720161	-0.574454301304673	1.29963992511595	-0.085199873977871	-0.917809673237286	1.03205443514998	-0.888422105252132	0.841169825006038	-1.22384435706299	-0.597360948154921	-0.186720718373332	-0.700682881501231	-0.648033178036584	-0.411886311438279	-0.425457026495351	-0.290952128832067	1.25832554736743	0.622507400821322	0.721304317311308	0.43808087076563	0.759692147164177	-0.016674041081979	0.200189150304882	-0.719113699336783	-0.183773401065814	-0.393086238351259	-3.46890066024953	-0.393483410486958	1.38231269363969	-0.407270591334535	-0.866881463503517	0.531131929934711	-0.509401224506903	-0.333030493960667	1.45134921203519	-0.26111434919221	-0.0386952823669879	-0.387660970560948	-0.442238467548188	-0.302746902682709	-0.301060675734241	-0.612639077855627	-0.309776470790548	0.113069823638971	-0.264639990875764	-0.589809429524876	0.395149729014268	-0.168854532366584	-0.658260993139232	-0.650822103275477	-0.00905092201616377	-0.614207128907807	-0.594823690854473	-0.0400052608658028	0.0708719278638731	-0.348976076911301	1.45491978703576	0.894116273657017	-0.263374975958513	-0.092541362868413	1.34359423155329	1.45571245546501	-0.375476157931821	0.982643490035486	-0.483662212496211	0.190450220063885	-0.428654365888494	-0.0722710309223849	-0.0251755140699765	1.37177664923381	0.799755570485497	-0.88310703417663	-0.546130720656853	1.43963322097893	-0.0695072769928739	-0.0839338756478921	-0.832447301872973	-0.301563239178645	-0.333599146250406	1.52361365425296	-0.221123728172092	1.94829172866381	-0.263764654404335	-0.130653155992816	0.410488149019678	1.76061152805464	0.990356085097707	3.09875557382802	-0.761348486872049	2.00294461432648	3.0144736685661	2.60925326216789	-0.885642191693139	0.279832787577296	-0.303656760609561	0.304837662531423	0.834432558023755	0.0084098393234344	-0.325940685442945	-0.20007046964315	-0.430511842371208	1.42883197299498	-0.10985557777749	-0.200671234950429	0.855509346023615	2.51204047752063	-0.871420273666236	2.03438983053913	-0.515220623852347	-0.0520480409337396	-1.01603644798263	-0.385169446353338	-0.284464337076166	1.57009928751323	3.45233858246002	0.220049418531471	-0.640277272849637	1.95601894163978	1.08412661206016	2.25806030224628	3.44581818049768	3.15785965727559	2.29333112501181	3.15981424633603	1.1848821392131	0.507071275158493	-0.839874255316782	-0.329958873706953	-1.82676130593552	-0.842423151263843	0.244444863615313	0.131259735019968	-0.316150711782162	0.0985501119695752	0.241091642091173	-0.276537619336437	-0.763732720889053	-0.119643942615088	-0.674872287556923	-0.534469297512842	-0.251986584429604	-0.137757883946993	-0.379632572550685	-0.0859626816564995	-0.121941674135503	-0.384693159931708	0.590393194062296	-0.239655189943023	-0.0104005748550356	0.220092464675989	-0.524853534904802	0.618652217218043	-0.362508047870351	-0.469838492900101	-0.0780980217387804	0.527272235655155	0.472692757938592	2.06142576909559	1.64493162680802	0.727654165292141	-0.32832457366743	-0.395658559663393	-0.124748516182849	-3.88012273216001	2.92886138166154	-1.27237711169377	-0.241610126598784	-0.119779297097034	0.443812982729244	0.898741635714173	-0.715329238065425	-0.120503553996646	-0.345535162833469	-0.419476421442878
"HsaEX0029326"	-1.69692539137417	0.133449939278269	0.521630514062673	-0.263284561724701	0.110435766787128	0.233347547717754	0.277964750867241	0.038909469939298	0.412050812264396	-0.0529094952554948	0.41927528476804	-0.0239779628503559	-0.115539848501599	0.0596475124134312	0.43756283529547	0.211777869336079	0.441130069209752	1.00988391836271	0.0859072362494452	0.18737982127388	-0.146792905197272	0.0759993924456268	-0.0211919669570512	0.0163500524018693	0.240605286487834	0.109031340129659	0.726841583273848	0.144707935016618	0.0399332461261028	0.120624085425937	0.538378052005523	-0.0113523021692168	-0.0445151163485746	-0.114229422990592	0.138257166301952	-0.1227191888104	-0.16269426345196	0.238350588434312	0.0142360534217764	-2.10345440151981	0.144361276929441	-0.00974840519251013	-0.00341646151934891	0.577827614510715	-4.57909087154992	0.073765985915405	-0.443210802061799	0.123502303999728	0.320250434521503	0.182337194710797	0.0498245846855177	0.13896226440127	0.412158028651199	0.253257036864301	0.0427826565390132	0.0393513764251246	0.35557921683669	0.26942047189139	0.35778810010122	0.528768488770668	-0.0370031231628426	0.506457568429919	0.66748331859561	0.0657201708480326	0.0503573458587508	-0.582408232387784	0.129595201754388	-0.809355043784609	0.247330213635961	0.190841115171263	0.454102248736657	0.213232518617589	0.704635948468269	0.710659466712001	0.354259517593288	-0.164518591068958	0.0475863887648343	-0.439751510433848	-0.0260009948019551	0.128409401725569	1.54413055852381	-0.505980689021109	0.508983828028325	0.735437808211326	-0.148007768006438	-0.0195531284690535	0.42894015686714	-1.91502743872387	0.571190927256868	0.128199892915158	0.140359617889746	-0.495116580583646	0.0628936652581611	0.160610912846042	0.363153546018964	0.193612199319657	-1.91284644783899	0.346707028368146	0.302226412551694	0.562060609954508	0.190657164302122	-1.80700126342935	0.110698398822078	0.196419763821946	-0.0758232576432898	-0.123760893973113	-0.0336171763516447	-0.0109902534842476	0.471491268439378	0.307243599240587	0.3709451538555	-0.0740266419088605	-0.055956079540176	0.143227773383609	-1.13400800808212	0.512875194342074	-0.277525906628837	0.114587253904869	0.748635903737489	-0.950792237175283	-0.232642922904294	0.409584621671388	0.505303252970995	-0.665446753346657	0.310736208806381	-0.286507742771301	0.201909873294266	-0.0871201241671144	-0.130125623826424	-0.258460780930036	-2.56126898669427	-0.00538891878250113	-4.7935510211892	0.327449016111945	-0.853779475164201	1.15444669951202	-0.237739377168337	-0.354775847059158	-0.514785567304691	-0.0346521661122193	0.280888850564508	-0.107222580598387	-0.353891354713711	0.118269538023277	0.0909780753437519	0.197898683418384	1.33502562348976	0.674544259922151	-0.108550441782032	0.712877340067349	0.972664704350765	0.369710133973707	0.569863147837493	-0.129659652405881	0.281351499999952	0.125851576544998	-0.0479178580596375	0.130208519980895	1.41337629687948	0.108032282081801	-0.224298059648318	0.786501860401075	0.0378686890347109	-0.672843138606863	-1.2142872664431	-0.692613635862569	0.399015653408499	0.104519865333875	0.0860379867335987	0.184404025663518	-0.215110152566006	-0.0381358629823707	0.186704729805675	0.503709984413189	0.227498979690069	-0.0176350135755831	0.688532934670134	0.303476456909625	-0.0773042440107512	-0.0602806427012395	-0.545908594003348	-0.0336946501313375	-0.0164281740659104	0.392442967284877	0.465831546025572	0.117381426743486	0.967131722509407	1.04509657635588	0.222010329695001	0.334819468984628	1.38502159541333	0.659576944422536	-0.489945482760479	1.11400900984704	-0.0280299085146256	-0.703097766984476	0.108015997789784	0.243003885715638	0.345904597288983	1.40477534520105	0.977731826634691	-2.08094007529664	0.00930621911333815	1.44089946856846	-1.04027577768872	0.369129011963522	-0.190416868568143	0.186148911713293	-0.354645103428994	1.32683518896067	0.241765176939243	-1.42037858697341	0.183446149146294	0.300542365409672	0.686856572185097	0.062449715756776	1.83007399915442	1.30175393250504	-8.21236904810364	-1.41116659153784	-1.47123735448884	1.86600703192484	-0.271615301210934	0.606671678407897	0.1076046173818	0.644870949067568	1.02610993253107	0.398546167536781	0.142653058196877	0.257390692117199	-0.879500170432298	0.435501002839059	0.334761334615182	0.230011128783924	1.03164802468553	-1.09899753324264	-1.92034640847026	1.88863214184844	-0.360063538000304	0.371042378607904	-0.334255053009777	0.125353355157674	-2.36252219868093	1.53817490454492	1.50884623134859	0.565884552683362	-0.0647471879064452	1.81961911134081	0.533991915505481	-2.89568035764268	-1.64621411668073	-0.389607540589469	2.0883838266143	-4.12612050964886	-0.923118008409892	0.516350426672682	-0.200267422686827	-0.478609220974777	-0.29944881215811	-0.201384708679907	-1.02117995397932	0.494808914288962	0.18701492089974	0.475098924219244	0.560598981043537	-1.91612916608279	-2.48386539269714	0.332684212698448	-0.0826108064819626	0.0218948795751134	-0.07265606144505	0.184136177386601	0.131108674401915	0.329021407082206	0.320145015182084	0.124993750469811	0.853161122930006	0.207472210653813	-0.411640376961308	0.567545727136183	0.0112796339662646	-0.834960675309712	0.161281591039552	0.0508660536659705	0.345311961732475	0.798388278952667	-0.233525797535334	0.999447025847336	1.59717192122581	0.17124212330268	0.186443981559955	0.119967465172956	-1.89680723162235	0.133145624257178	-3.77501238901111	-0.519650440686582	0.211925566644658	0.287093625281527	0.716905946259134	1.0574289452591	-0.107180611501294	0.277785422472368	0.172791527819063	0.109389194739692
"HsaEX0021233"	0.709881354311918	-1.2195757371578	0.103220553432063	0.6103584973143	-0.310710433007073	-0.571051006638303	-0.0930252817549732	2.22806744473011	-1.06551278492414	-1.20493411633075	0.144700816656075	-0.633964834611141	-0.709133144054824	1.2176300487919	-0.191877758407242	-0.640770707130752	1.15591637855975	1.66055486478735	-0.35205209610056	-0.901828399116663	-1.44898514047394	-1.48000442186114	-0.728215029295136	-1.07116028211478	-0.802418531235668	-0.0094033765146689	-0.433346332195457	1.89670258600486	0.775809807539324	-0.0627631407518073	-0.596540186046059	0.903798144253897	-1.00584008751723	-0.185782564916932	1.33321841871384	-1.20900303478157	-1.05329507360651	-0.576260648615481	-0.188065111460475	0.302426938330325	-0.684130528001865	-0.288380011655064	-0.0649385927652432	-0.135207341224155	0.567565951605394	-1.36732242740603	-0.144883080193051	0.892328615794911	-0.69777633090028	-0.390640481793162	2.48865763507951	1.46869391881119	-0.263980161246681	0.113183229037056	-1.15820592546978	0.636102936901294	-0.641348979317558	1.43461875357954	-0.899000566665513	-0.545635356841268	-0.85698557642533	1.8346383137976	-0.147486319726623	-1.42722239495547	-0.0726876639656198	1.52840795913862	-0.599450348825248	-0.639029815947265	-0.77912102526638	-0.428375662117812	-0.517835796965233	0.599512361869669	3.34768244435784	-0.149666626727015	-0.632397433105347	-0.490750309385067	1.17999546647635	-0.739675124472607	0.420353999199894	-0.773046145699901	-0.0190951893588247	0.68428977422232	-0.687715019007693	0.823049591838986	-0.901656570374341	0.211609438736443	-1.1457964763006	-0.833511226409131	-0.944810503175923	-0.857075712183576	-0.442581347103131	-1.4871447760464	-0.492590557870186	-0.384613308554367	-0.39359558758955	-0.897121892010746	-0.443819454367683	-0.602916658330595	-0.354759108737597	-0.510323283491502	-0.530090334437514	3.93400393243665	-0.468852000738214	-0.972563259534937	1.02184100327368	0.0814337794161165	-0.669592471311289	-0.387461107742092	0.706693758361673	-0.873875261994394	-0.763498246825551	0.769268908384946	-0.745042405041618	0.372981412948726	-1.19108609991569	0.612700397190287	4.07646808026432	-0.775990928265876	0.144934418267511	-0.250825749068148	-0.141867814672965	1.2074430583522	-0.608333567408513	0.224266666254909	-0.255375543784455	0.105157211652211	0.322144652811798	0.960518434058167	-0.120967140924979	3.10720249979271	0.778818046794558	2.60057048503704	0.370267104702208	0.759410372210308	-1.00000222717173	-0.36547241812903	-1.117265935694	-0.524167911480347	-1.10100072279835	-1.23376556557505	-1.33764012774665	-0.714279780880655	-1.1866698188065	-1.18109446714025	-1.1458183271009	0.831786972440128	-0.0371377173371654	-0.305619925981156	0.286449048497796	-0.355121774504883	0.139762414646213	-0.529681338186036	-0.949814839950099	-0.408804760286688	-0.77774257122624	1.77842021013009	1.55868113730846	0.31359392564322	0.346990712464582	-0.0422289337960966	0.0516023261204172	-0.24544167184701	-0.3540088490432	2.26500724491688	0.329812359250971	-0.686646116569347	-0.252374744052461	-0.548239090923333	1.70709602097995	-1.15924694529215	-1.07984120968495	-1.08193235270306	-0.654609576807249	0.985440238507572	-0.0624294205362009	0.5753732447242	-0.682100263912347	-0.698943454116103	-1.0692392655712	0.851480391064376	0.516579270590628	-1.0922484567888	-1.40845584939311	-0.253050211993385	2.99472502309321	-0.506963426749768	-0.401357360320883	0.165529604467405	-1.2071543048064	-0.438413048577613	-0.264989836400064	0.285794311484239	0.40338194441847	-0.302748341860072	-0.521258558594545	-1.06945230596493	-0.257470005171502	-0.448450325422107	-0.176260890539788	0.202151045197067	-0.343040543484091	-0.228799234842642	-0.526124484875677	0.545383470373014	-0.868652459830097	-1.37770084245961	1.22988209183627	0.625097766148088	-0.126196587329718	-0.480923568242157	0.0188416592479742	0.141494357666556	5.23436204695215	0.426682646127777	-0.221739428670351	0.631536610145308	-0.0337426069989664	0.385964196693003	1.09856376456321	0.110489378937366	0.581013094381435	0.701557356053968	-0.680833196065445	-0.285608109071494	1.87831296132441	0.787973688783702	-0.793762251809826	0.900628574847017	-0.666756907528684	-0.838077703652717	-0.659485251750627	-0.280173731497593	-0.0939050689265407	0.508647689676422	1.24853419124883	0.407898768875486	-0.614901091502263	0.113528357040763	-0.472038637988	0.0702653487036409	1.00191498714052	1.7457964067839	0.320683248524156	0.102664389993895	0.955910954789625	-0.356336258942548	-0.555270618930416	0.312148591932195	-0.0380858025731246	0.410079932600347	0.552012702145408	0.4519000911249	0.664415556418314	0.500479247494258	-0.17584097581206	0.743176988266047	-0.430305873829301	0.0722181696520394	-1.25733759938138	-0.262839363155866	-0.808539357074952	-0.544089790441774	0.0835188226653232	0.442996802017901	0.195076083044154	0.0869063509753238	-0.540003368549575	-1.12720740600708	-1.02402406709643	-0.334369369983505	-0.599731558063656	0.607766798682558	-0.927015014047951	-0.767448602837752	-0.233309869939448	0.178595109805762	-1.02841542059439	0.907064599346581	1.38887776614428	1.56217762178325	1.01244527599937	-0.635617059782229	0.363003032949372	1.45224148895374	-0.484476298161349	-0.202443863028557	-0.593895324373763	0.311459036711387	0.727154393247722	0.515956585048103	1.28886768922423	-1.27724346243786	0.304987386693061	2.45180158501743	0.513207373634266	-1.63926729276792	-0.779030984187251	-0.434676537990604	0.797799112513838	-0.442003023605352	1.85420213245894	-0.256515095876542	1.90307241516325	-1.42829075690376
"HsaEX0021237"	0.777468295136445	-1.98011645244012	0.413918484409694	-0.0862731112570764	-0.144035974021845	0.0414861177809314	0.371847480134531	0.155950957286325	0.344505370328219	0.121981816291447	0.275786296949183	-0.172389977749055	0.0592114624836714	0.071277334681118	0.629721747591241	0.243800232773884	0.429445177541552	0.801017809581708	0.145769519471981	0.279003679658689	0.0064392861513956	0.1605997013445	-0.142822030759497	-0.0105331839748777	0.281947138595421	0.0606834349409809	0.46855916294314	-0.0198846249370858	0.0867890183734595	0.22130951626777	0.354954243955147	0.0534927945394152	-0.0841449841497924	-0.128874665891301	0.103326619353076	-0.0963103254499452	-0.104482407110125	0.218182384556983	0.00589957016793853	-1.14911021587673	0.154473162974462	-0.0235870103787594	-0.0318864184235186	0.416200166672683	-0.416558440301825	0.18751056425879	0.354588380434965	0.235015401201159	0.238196008374581	-0.0562826668928499	0.0721278738192483	0.25744513753798	0.363892630285905	0.297286640535864	0.101879506508873	0.0360576375253398	0.208182405644195	0.21161328504764	0.352937719910683	-3.97130742775675	0.0296583052828918	0.284792564109373	0.0148058306030609	0.218407204333	0.000134719443664054	0.0857927490870976	0.120480915879105	0.476360533596873	0.22333684205196	0.330266822042479	0.406365691410451	0.0769054006635292	-1.52917461627494	0.546094482099436	0.351324792746125	-0.0591037810029157	0.0538561424496343	0.0951940731334186	0.0733748804655689	0.092624339947614	1.06449115159352	-2.71712460186367	0.51048815675763	0.584458745480624	-0.0905354396781634	0.0180310121051566	0.382775763230046	0.860905966381627	0.479950432574917	0.196702879472327	-0.0792077208397415	0.139048502744988	0.15439150523758	0.262155246458152	0.342303379976437	0.253598000435863	0.251590849872031	0.357550935669498	0.268387376151929	0.416572236718973	-0.00875107550942396	0.0838173411603679	-0.0866538984272132	0.123465653077359	-0.171217015533641	0.115262309438395	-0.103996705923057	-0.0127894859907076	0.301711750783275	0.195024491011232	0.416456019415251	0.309380405906029	0.503226901996293	0.17483950214744	0.442639377334939	0.390851818067217	0.177205084271055	-0.678387037962567	0.387074928395005	0.50015024577871	-0.191853343198007	0.404292379537954	0.297312777573839	0.249165557369692	0.247002204580971	-0.0800577974119193	0.138244456080875	-0.0186587026462043	-0.130425100949705	-0.221266457499924	0.0892869742396254	0.0862967228078716	-5.34266907464134	0.170137652986242	-0.305641379526393	-1.41006558623106	-0.0939334213551953	0.735215330765142	-0.480699036190246	-1.7502019496332	0.3044050322995	-0.0429011900735458	0.322255502967677	0.202199389912472	0.0781642468843446	0.20511821909528	1.03105454270146	0.795684289869434	0.688231694534814	0.458234307594879	0.789639313851432	0.152518610672361	0.544321789469029	-0.112770789882382	0.294515220136319	0.170324985795834	0.136183572695077	-6.17056254528015	1.01188314621313	0.112835022113358	-0.0984150083608201	0.543745870758809	0.0907202382496221	0.214401226700778	-1.5450095368644	0.19374781918667	0.447210211768552	0.00261752817321296	0.11893475619085	0.166227542925418	0.201670612439478	0.0341274218554657	0.21275751702165	0.482983511830161	0.288480086739074	0.0715340399457226	0.483641037767706	0.377781115092966	-0.0284952948706303	0.0534028391979708	0.326052326071291	0.070979119335513	0.101797569159947	0.40869562333604	0.413942564426467	-0.0814363670064589	-0.135447987830817	0.684515662694564	0.245906700790349	0.252211439582225	0.991670404741412	1.09238960186783	0.0766981564739098	0.758236188599823	0.146495431927523	0.472528202869037	0.207101232405891	0.182342886782922	0.0296038053576448	-1.40822736353115	0.64697135942099	-0.123801771901225	0.0603290804824634	0.944392802428362	0.294908214349601	0.445449275171817	-0.0220484351772002	0.172763038949995	0.248564732820016	1.18589284479773	0.192569677045732	1.39307100228344	-0.0122737144577285	0.189407643051113	0.404648164474231	-0.543952750506828	1.37302599630887	0.307397551672613	-2.98276449787087	-1.15216352802737	-1.75872346322741	-0.97974914759568	-0.334506500521345	0.440887730395395	0.043573498270445	0.587971227886655	-1.27048249135779	0.236150628587027	-0.0127854761424014	-1.55568502394246	0.0892881731987848	1.05478218957236	0.328234856598825	0.0230883967230818	0.764269485402206	-3.09652105495687	-0.077317219585171	-4.72730262331846	0.149265160247864	0.317618112622524	-0.18117521283695	0.132026993921613	0.163480473623814	1.02416903172086	1.03887733581964	0.429856306205811	-0.023238040271568	1.21770759147422	0.837111276911449	1.39106069064609	-4.66160223362218	-0.738479991717723	0.589916973367198	-4.01844793638704	1.28792328236009	-6.32826447598401	-0.0556570671481512	0.122086099277602	-0.241727685759986	-0.0519375340111368	0.476391715188274	0.342715414732648	0.242980340864625	0.354243383428326	-0.0617838980216835	0.240969163035729	-0.0980966774573156	0.357436596638253	0.00905446133374974	0.0937023947753764	0.184840252043164	0.373427659555448	0.146377863957088	0.184101261418817	0.283070564232247	0.127501406189498	-0.772378235760857	0.0432424022758793	0.389196627169906	0.440861678227471	-0.0202767805510761	0.620528443417884	0.274147820042506	0.00370729497059331	0.259179976043913	0.640887966313819	0.633769983594269	-3.39938991053079	1.09150687924089	0.70697929674179	0.292861121572099	0.142022263674472	0.279322814814565	0.0767604164838482	-2.81605159042636	-0.299289175147043	0.0818834329958742	0.0507798265001854	0.460086460474077	0.747214937678573	0.0220224396950865	-0.00875560551020808	0.276809355407619	0.175849498248078
